날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,4510C796-25D9-44C1-9F6D-E3139C75AF8B,세무법인 센트릭,서현파트너스,,,,방문 제휴식당,,,129,142,271,0,0,271,166,17,2094000,2094000,원,0,0,0,2094000,2094000,2046134,47866,2094000,0,서울특별시,강남구,대치동,,,
2020-01-01,505F1153-0FA4-4376-AC0B-380F33F50BB3,아비브,미설정(기본그룹),,,,방문 제휴식당,,,51,0,51,0,0,51,51,7,414300,404300,원,10000,0,0,414300,404300,402601,11699,414300,0,경기도,성남시 분당구,삼평동,,,
2020-01-01,91970FF1-4A60-5370-BE53-E6E0BEDE3FBC,키위커뮤니케이션(x),미설정(기본그룹),,,,방문 제휴식당,,,404,0,404,0,0,404,404,24,3105600,3094700,원,10900,0,0,3105600,3094700,3007733,97867,3105600,0,서울특별시,강남구,논현동,,,
2020-01-01,D901EB5B-AE83-4FD9-85CC-4EDD00745CE3,알에프텍,알에프텍,,,,방문 제휴식당,,,21,165,186,0,0,186,67,16,1421400,1421400,원,0,0,0,1421400,1421400,1386680,34720,1421400,0,서울특별시,강남구,역삼동,,,
2020-01-01,D827B629-0DDA-418B-B0AC-79CF77243BB5,원티드랩,미설정(기본그룹),,,,방문 제휴식당,,,474,216,690,0,0,690,533,71,6804770,6804770,원,0,0,0,6804770,6804770,6609301,195469,6804770,0,서울특별시,송파구,신천동,,,
2020-01-01,00EE8441-62BF-40D7-AB37-64280D456132,대명인터내셔널 삼성지점(x),대명소노,,,,방문 제휴식당,,,54,274,328,0,0,328,133,30,2276730,2276730,원,0,0,0,2276730,2276730,2242301,34429,2276730,0,서울특별시,강남구,삼성동,,,
2020-01-01,DF66C9FE-1AD1-5322-C42A-BC84AC583970,도그빌,미설정(기본그룹),,,,방문 제휴식당,,,23,95,118,0,0,118,55,7,1279000,1279000,원,0,0,0,1279000,1279000,1246016,32984,1279000,0,서울특별시,강남구,논현동,,,
2020-01-01,D70A9A6F-4928-44FF-4F8A-6EE56C3E2A4E,키위플러스,미설정(기본그룹),,,,방문 제휴식당,,,518,0,518,0,0,518,518,36,4811850,4811850,원,0,0,0,4811850,4811850,4721138,90712,4811850,0,서울특별시,영등포구,여의도동,,,
2020-01-01,04C39285-7FAD-48AB-B554-872A179A60EB,LS전선,LS,,,,배달식사,,,127,0,117,10,0,127,127,19,529700,529700,원,0,0,0,529700,529700,487324,42376,529700,0,서울특별시,용산구,한강로2가,,,
2020-01-01,1C38EB59-9112-446E-9F86-F30DAF1E6A96,대림바스,대림,,,,방문 제휴식당,,,1331,1184,2510,4,1,2515,1661,163,19909050,19345280,원,563770,0,0,19909050,19345280,19348849,560201,19909050,0,서울특별시,영등포구,영등포동7가,,,
